,Cocktail Name,Recipe,Ingredients,Proportions
523,Dry Rob Roy,"1 twist of Lemon peel, 1 1/2 tsp Dry Vermouth, 2 1/2 oz Scotch","Lemon peel, Dry Vermouth, Scotch","1 twist of , 1 1/2 tsp , 2 1/2 oz "
524,Dirty Nipple,"NoneBaileys irish cream, NoneSambuca, NoneKahlua","Baileys irish cream, Sambuca, Kahlua",
525,Dirty Martini,"1Olive, 1 wedgeLemon, 2 tbspOlive Brine, 1 tbspDry Vermouth, 70ml/2fl ozVodka","Olive, Lemon, Olive Brine, Dry Vermouth, Vodka","1, 1 wedge, 2 tbsp, 1 tbsp, 70ml/2fl oz"
526,Darkwood Sling,"cubesIce, 1 part Orange juice, 1 part Soda water, 1 part Cherry Heering","Ice, Orange juice, Soda water, Cherry Heering","cubes, 1 part , 1 part , 1 part "
527,Dark and Stormy,"10 clGinger Beer, 5 clDark Rum","Ginger Beer, Dark Rum","10 cl, 5 cl"
528,Dark Caipirinha,"2 1/2 ozCachaca, 1Lime, 2 tsp demerara Sugar","Cachaca, Lime, demerara Sugar","2 1/2 oz, 1, 2 tsp "
529,Duchamp's Punch,"2 sprigsLavender, PinchPepper, 2 DashesAngostura Bitters, 1.5 clSt. Germain, 2.5 clPineapple Syrup, 2.5 clLime Juice, 5 clPisco","Lavender, Pepper, Angostura Bitters, St. Germain, Pineapple Syrup, Lime Juice, Pisco","2 sprigs, Pinch, 2 Dashes, 1.5 cl, 2.5 cl, 2.5 cl, 5 cl"
530,Damned if you do,"0.25 oz Hot Damn, 0.75 oz Whiskey","Hot Damn, Whiskey","0.25 oz , 0.75 oz "
531,Dubonnet Cocktail,"1 twist of Lemon peel, 1 dash Bitters, 3/4 oz Gin, 1 1/2 oz Dubonnet Rouge","Lemon peel, Bitters, Gin, Dubonnet Rouge","1 twist of , 1 dash , 3/4 oz , 1 1/2 oz "
532,Drinking Chocolate,"Fresh Whipped cream, 2 oz finely chopped dark Chocolate, 1 Vanilla, 1 stick Cinnamon, 6-8 oz Milk, 2 oz Heavy cream","Whipped cream, Chocolate, Vanilla, Cinnamon, Milk, Heavy cream","Fresh , 2 oz finely chopped dark , 1 , 1 stick , 6-8 oz , 2 oz "
533,Death in the Afternoon,"TopChampagne, 2 shotsAbsinthe","Champagne, Absinthe","Top, 2 shots"
534,Egg Cream,"6 oz Soda water, 6 oz whole Milk, 2 tblsp Chocolate syrup","Soda water, Milk, Chocolate syrup","6 oz , 6 oz whole , 2 tblsp "
535,Egg Nog #4,"Ground Nutmeg, 1/4 cup Sugar, 6 Egg white, 1 cup Whipping cream, 1/4 tsp Salt, 1 tsp Vanilla extract, 1/2 cup Bourbon, 1/2 cup Light rum, 2 cups Milk, 1/4 cup Sugar, 6 Egg yolk","Nutmeg, Sugar, Egg white, Whipping cream, Salt, Vanilla extract, Bourbon, Light rum, Milk, Sugar, Egg yolk","Ground , 1/4 cup , 6 , 1 cup , 1/4 tsp , 1 tsp , 1/2 cup , 1/2 cup , 2 cups , 1/4 cup , 6 "
536,English Highball,"NoneLemon peel, NoneCarbonated water, 3/4 oz Sweet Vermouth, 3/4 oz Gin, 3/4 oz Brandy","Lemon peel, Carbonated water, Sweet Vermouth, Gin, Brandy","3/4 oz , 3/4 oz , 3/4 oz "
537,Espresso Martini,"1 dashSugar syrup, 1 clKahlua, 5 clVodka","Sugar syrup, Kahlua, Vodka","1 dash, 1 cl, 5 cl"
538,Espresso Rumtini,"1 shotCoffee, 1 shotEspresso, 1/2 shotVanilla syrup, 1 shotRum","Coffee, Espresso, Vanilla syrup, Rum","1 shot, 1 shot, 1/2 shot, 1 shot"
539,Egg Nog - Healthy,"
Nutmeg, 1 tsp Rum, 1 tsp Vanilla extract, 3/4 cup skimmed Milk, 13 oz skimmed Condensed milk, 3 tblsp Sugar, 1/2 cup Egg","Nutmeg, Rum, Vanilla extract, Milk, Condensed milk, Sugar, Egg","
, 
, 
, 
, 
, 
, 1 tsp , 1 tsp , 3/4 cup skimmed , 13 oz skimmed , 3 tblsp , 1/2 cup "
540,English Rose Cocktail,"1 Cherry, 1/4 tsp Lemon juice, 1 tsp Grenadine, 3/4 oz Dry Vermouth, 1 1/2 oz Gin, 3/4 oz Apricot brandy","Cherry, Lemon juice, Grenadine, Dry Vermouth, Gin, Apricot brandy","1 , 1/4 tsp , 1 tsp , 3/4 oz , 1 1/2 oz , 3/4 oz "
541,Elderflower Caipirinha,"3 clElderflower cordial, 1Lime, 60 mlCachaca","Elderflower cordial, Lime, Cachaca","3 cl, 1, 60 ml"
542,Egg-Nog - Classic Cooked,"1 tsp Vanilla extract, 1 qt Milk, 1/4 tsp Salt, 1/4 cup Sugar, 6 Egg","Vanilla extract, Milk, Salt, Sugar, Egg","1 tsp , 1 qt , 1/4 tsp , 1/4 cup , 6 "
543,Empellón Cocina's Fat-Washed Mezcal,"1/2 ozCoffee liqueur, 3/4 ozChocolate liqueur, 2 ozMezcal","Coffee liqueur, Chocolate liqueur, Mezcal","1/2 oz, 3/4 oz, 2 oz"
544,Frosé,"2-3 ozLemon Juice, 8 ozStrawberries, 1/2 cupSugar, 750 mlRose","Lemon Juice, Strawberries, Sugar, Rose","2-3 oz, 8 oz, 1/2 cup, 750 ml"
545,Frappé,"1-2 tsp Sugar, 1/2 cup Milk, 1/2 cup black Coffee","Sugar, Milk, Coffee","1-2 tsp , 1/2 cup , 1/2 cup black "
546,Foxy Lady,"2 oz Light cream, 1/2 oz Creme de Cacao, 1/2 oz Amaretto","Light cream, Creme de Cacao, Amaretto","2 oz , 1/2 oz , 1/2 oz "
547,French 75,"1 Maraschino cherry, 1 Orange, 4 oz Chilled Champagne, 1 1/2 oz Lemon juice, 2 tsp superfine Sugar, 1 1/2 oz Gin","Maraschino cherry, Orange, Champagne, Lemon juice, Sugar, Gin","1 , 1 , 4 oz Chilled , 1 1/2 oz , 2 tsp superfine , 1 1/2 oz "
548,Figgy Thyme,"TopTonic Water, 2 dashesAngostura Bitters, 1 SprigThyme, 3Figs, 1 tspHoney, 2 ozVodka","Tonic Water, Angostura Bitters, Thyme, Figs, Honey, Vodka","Top, 2 dashes, 1 Sprig, 3, 1 tsp, 2 oz"
549,Frisco Sour,"1 slice Lime, 1 slice Lemon, Juice of 1/2 Lime, Juice of 1/4 Lemon, 1/2 oz Benedictine, 2 oz Blended whiskey","Lime, Lemon, Lime, Lemon, Benedictine, Blended whiskey","1 slice , 1 slice , Juice of 1/2 , Juice of 1/4 , 1/2 oz , 2 oz "
550,Fruit Shake,"6 Ice, 1/2 piece textural Fruit, 4 oz frozen Orange juice, 1 Banana, 1 cup fruit Yoghurt","Ice, Fruit, Orange juice, Banana, Yoghurt","6 , 1/2 piece textural , 4 oz frozen , 1 , 1 cup fruit "
551,Fruit Cooler,"NoneIce, 1 L Soda water, 1 Apple, 1 Lemon, 2 tblsp Sugar, 1 cup Strawberries, 1 can frozen Apple juice","Ice, Soda water, Apple, Lemon, Sugar, Strawberries, Apple juice","1 L , 1 , 1 , 2 tblsp , 1 cup , 1 can frozen "
552,Freddy Kruger,"1/2 oz Vodka, 1/2 oz Sambuca, 1/2 oz Jägermeister","Vodka, Sambuca, Jägermeister","1/2 oz , 1/2 oz , 1/2 oz "
553,Funk and Soul,"TopSoda Water, Juice of 1/2lemon, 1 shotPomegranate juice, 1 shotApricot Nectar, 2 shotsRum","Soda Water, lemon, Pomegranate juice, Apricot Nectar, Rum","Top, Juice of 1/2, 1 shot, 1 shot, 2 shots"
554,Fuzzy Asshole,"1/2 Peach schnapps, 1/2 Coffee","Peach schnapps, Coffee","1/2 , 1/2 "
555,French Martini,"1.5 clpineapple juice, 1.5 clRaspberry Liqueur, 4.5 clVodka","pineapple juice, Raspberry Liqueur, Vodka","1.5 cl, 1.5 cl, 4.5 cl"
556,French Negroni,"1Orange Peel, 1 ozSweet Vermouth, 1 ozLillet, 1 ozGin","Orange Peel, Sweet Vermouth, Lillet, Gin","1, 1 oz, 1 oz, 1 oz"
557,Fahrenheit 5000,"1 dash Tabasco sauce, 1/2 oz Absolut Peppar, 1/2 oz Firewater","Tabasco sauce, Absolut Peppar, Firewater","1 dash , 1/2 oz , 1/2 oz "
558,Flying Dutchman,"1/2 oz Triple sec, 2 oz Gin","Triple sec, Gin","1/2 oz , 2 oz "
559,Frozen Daiquiri,"1 cup crushed Ice, 1 Cherry, 1 tsp Sugar, 1 1/2 oz Lime juice, 1 tblsp Triple sec, 1 1/2 oz Light rum","Ice, Cherry, Sugar, Lime juice, Triple sec, Light rum","1 cup crushed , 1 , 1 tsp , 1 1/2 oz , 1 tblsp , 1 1/2 oz "
560,Fruit Flip-Flop,"1 cup Fruit juice, 1 cup Yoghurt","Fruit juice, Yoghurt","1 cup , 1 cup "
561,Flying Scotchman,"1/4 tsp Sugar syrup, 1 dash Bitters, 1 oz Sweet Vermouth, 1 oz Scotch","Sugar syrup, Bitters, Sweet Vermouth, Scotch","1/4 tsp , 1 dash , 1 oz , 1 oz "
562,French Connection,"3/4 oz Amaretto, 1 1/2 oz Cognac","Amaretto, Cognac","3/4 oz , 1 1/2 oz "
563,Flaming Dr. Pepper,"1 oz Beer, 1 oz Dr. Pepper, 1 oz Bacardi 151 proof rum, 1 oz Vodka, 1 oz Amaretto","Beer, Dr. Pepper, 151 proof rum, Vodka, Amaretto","1 oz , 1 oz , 1 oz Bacardi , 1 oz , 1 oz "
564,Flaming Lamborghini,"1 oz Baileys irish cream, 1 oz Blue Curacao, 1 oz Sambuca, 1 oz Kahlua","Baileys irish cream, Blue Curacao, Sambuca, Kahlua","1 oz , 1 oz , 1 oz , 1 oz "
565,Flander's Flake-Out,"3/4 glass Sarsaparilla, 1/4 glass Sambuca","Sarsaparilla, Sambuca","3/4 glass , 1/4 glass "
566,Frozen Mint Daiquiri,"1 tsp Sugar, 6 Mint, 1 tblsp Lime juice, 2 oz Light rum","Sugar, Mint, Lime juice, Light rum","1 tsp , 6 , 1 tblsp , 2 oz "
567,Frozen Pineapple Daiquiri,"1/2 tsp Sugar, 1 tblsp Lime juice, 4 chunks Pineapple, 1 1/2 oz Light rum","Sugar, Lime juice, Pineapple, Light rum","1/2 tsp , 1 tblsp , 4 chunks , 1 1/2 oz "
568,GG,"NoneIce, NoneGinger ale, 2 1/2 shots Galliano","Ice, Ginger ale, Galliano",2 1/2 shots 
569,Gimlet,"1Lime, 1/2 ozSugar Syrup, 1/2 ozLime Juice, 2 1/2 ozGin","Lime, Sugar Syrup, Lime Juice, Gin","1, 1/2 oz, 1/2 oz, 2 1/2 oz"
570,Godchild,"1 oz Heavy cream, 1 oz Amaretto, 1 oz Vodka","Heavy cream, Amaretto, Vodka","1 oz , 1 oz , 1 oz "
571,Gin Fizz,"NoneCarbonated water, 1 tsp Powdered sugar, Juice of 1/2 Lemon, 2 oz Gin","Carbonated water, Powdered sugar, Lemon, Gin","1 tsp , Juice of 1/2 , 2 oz "
572,Gin Sour,"1 Maraschino cherry, 1 Orange, 1/2 tsp superfine Sugar, 1 oz Lemon juice, 2 oz Gin","Maraschino cherry, Orange, Sugar, Lemon juice, Gin","1 , 1 , 1/2 tsp superfine , 1 oz , 2 oz "
573,Gagliardo,"1 part Sirup of roses, 1 part Galliano, 3 parts Lemon juice, 5 parts Peach Vodka","Sirup of roses, Galliano, Lemon juice, Peach Vodka","1 part , 1 part , 3 parts , 5 parts "
574,Godmother,"3/4 oz Amaretto, 1 1/2 oz Vodka","Amaretto, Vodka","3/4 oz , 1 1/2 oz "
575,Godfather,"3/4 oz Amaretto, 1 1/2 oz Scotch","Amaretto, Scotch","3/4 oz , 1 1/2 oz "
576,Gluehwein,"1 tblsp Lemon peel, 3 Cloves, 1 Cinnamon, 60 gr Sugar, 125 ml Water, 1 L Red wine","Lemon peel, Cloves, Cinnamon, Sugar, Water, Red wine","1 tblsp , 3 , 1 , 60 gr , 125 ml , 1 L "
577,Gin Tonic,"cubesIce, 1 SliceLemon Peel, 10 clTonic Water, 4 clGin","Ice, Lemon Peel, Tonic Water, Gin","cubes, 1 Slice, 10 cl, 4 cl"
578,Gin Toddy,"1 twist of Lemon peel, 1/2 tsp Powdered sugar, 2 tsp Water, 2 oz Gin","Lemon peel, Powdered sugar, Water, Gin","1 twist of , 1/2 tsp , 2 tsp , 2 oz "
579,Gin Smash,"1 Cherry, 1 slice Orange, 4 Mint, 1 cube Sugar, 1 oz Carbonated water, 2 oz Gin","Cherry, Orange, Mint, Sugar, Carbonated water, Gin","1 , 1 slice , 4 , 1 cube , 1 oz , 2 oz "
580,Gin Daisy,"1 Orange, 1 Maraschino cherry, 1/2 tsp Grenadine, 1/2 tsp superfine Sugar, 1 oz Lemon juice, 2 oz Gin","Orange, Maraschino cherry, Grenadine, Sugar, Lemon juice, Gin","1 , 1 , 1/2 tsp , 1/2 tsp superfine , 1 oz , 2 oz "
581,Gin Lemon,"cubesIce, 1 SliceLemon Peel, 8 clLemon Juice, 6 clGin","Ice, Lemon Peel, Lemon Juice, Gin","cubes, 1 Slice, 8 cl, 6 cl"
582,Gin Sling,"Twist of Orange peel, 1 tsp Water, 1 tsp Powdered sugar, Juice of 1/2 Lemon, 2 oz Gin","Orange peel, Water, Powdered sugar, Lemon, Gin","Twist of , 1 tsp , 1 tsp , Juice of 1/2 , 2 oz "
583,Greyhound,"3 ozGrapefruit Juice, 1 1/2 ozVodka","Grapefruit Juice, Vodka","3 oz, 1 1/2 oz"
584,Gin Rickey,"GarnishLime, Top up withSoda Water, Juice of 1/2 lemon, 1 tsp Grenadine, 2 oz Gin","Lime, Soda Water, lemon, Grenadine, Gin","Garnish, Top up with, Juice of 1/2 , 1 tsp , 2 oz "
585,Gin Squirt,"NoneCarbonated water, 2 Strawberries, 3 chunksPineapple, 1 tblsp Powdered sugar, 1 tsp Grenadine, 1 1/2 oz Gin","Carbonated water, Strawberries, Pineapple, Powdered sugar, Grenadine, Gin","2 , 3 chunks, 1 tblsp , 1 tsp , 1 1/2 oz "
586,Grand Blue,"3 cl Sweet and sour, 1 1/2 cl Blue Curacao, 1 1/2 cl Peach schnapps, 1 1/2 cl Malibu rum","Sweet and sour, Blue Curacao, Peach schnapps, Malibu rum","3 cl , 1 1/2 cl , 1 1/2 cl , 1 1/2 cl "
587,Gin Cooler,"NoneLemon peel, NoneOrange spiral, NonePowdered sugar, NoneCarbonated water, 2 oz Gin","Lemon peel, Orange spiral, Powdered sugar, Carbonated water, Gin",2 oz 
588,Gin Swizzle,"3 oz Club soda, 1 dash Bitters, 2 oz Gin, 1 tsp superfine Sugar, 1 1/2 oz Lime juice","Club soda, Bitters, Gin, Sugar, Lime juice","3 oz , 1 dash , 2 oz , 1 tsp superfine , 1 1/2 oz "
589,Grass Skirt,"1 Pineapple, 1/2 tsp Grenadine, 1 oz Pineapple juice, 1 oz Triple sec, 1 1/2 oz Gin","Pineapple, Grenadine, Pineapple juice, Triple sec, Gin","1 , 1/2 tsp , 1 oz , 1 oz , 1 1/2 oz "
590,Grasshopper,"3/4 oz Light cream, 3/4 oz white Creme de Cacao, 3/4 oz Green Creme de Menthe","Light cream, Creme de Cacao, Green Creme de Menthe","3/4 oz , 3/4 oz white , 3/4 oz "
591,Grim Reaper,"1 dash Grenadine, 1 oz Bacardi 151 proof rum, 1 oz Kahlua","Grenadine, 151 proof rum, Kahlua","1 dash , 1 oz Bacardi , 1 oz "
592,Gin and Soda,"1/4Lime, 5 ozSoda Water, 2 ozGin","Lime, Soda Water, Gin","1/4, 5 oz, 2 oz"
593,H.D.,"NoneCoffee, 8 cl Baileys irish cream, 4 cl Whisky","Coffee, Baileys irish cream, Whisky","8 cl , 4 cl "
594,Honey Bee,"2 clLemon Juice, 2 clHoney, 6 clWhite Rum","Lemon Juice, Honey, White Rum","2 cl, 2 cl, 6 cl"
595,Hot Toddy,"2Cloves, 1lemon, 1Cinnamon, 15 mlHoney, 50 mlWhiskey","Cloves, lemon, Cinnamon, Honey, Whiskey","2, 1, 1, 15 ml, 50 ml"
596,Herbal flame,"very sweet Tea, 5 shots Hot Damn","Tea, Hot Damn","very sweet , 5 shots "
597,Horse's Neck,"2 dashes Bitters, 5 oz Ginger ale, 2 oz Brandy, 1 long strip Lemon peel","Bitters, Ginger ale, Brandy, Lemon peel","2 dashes , 5 oz , 2 oz , 1 long strip "
598,Happy Skipper,"NoneIce, NoneLime, NoneGinger ale, 1 1/2 cl Spiced rum","Ice, Lime, Ginger ale, Spiced rum",1 1/2 cl 
599,Hunter's Moon,"2Blackberries, 100 mlLemonade, 10 mlSugar Syrup, 15 mlMaraschino Cherry, 25 mlVermouth","Blackberries, Lemonade, Sugar Syrup, Maraschino Cherry, Vermouth","2, 100 ml, 10 ml, 15 ml, 25 ml"
600,Halloween Punch,"20 clVodka, 6Ginger, 10Cloves, 1Red Chili Flakes, 3Orange Peel, 1 bottleCherry Juice","Vodka, Ginger, Cloves, Red Chili Flakes, Orange Peel, Cherry Juice","20 cl, 6, 10, 1, 3, 1 bottle"
601,Havana Cocktail,"1 tsp Lemon juice, 1 oz Pineapple juice, 1 oz Light rum","Lemon juice, Pineapple juice, Light rum","1 tsp , 1 oz , 1 oz "
602,Holloween Punch,"NoneSherbet, NoneSherbet, , orange
Carbonated soft drink, NoneGrape juice","Sherbet, Sherbet, Carbonated soft drink, Grape juice",
603,Homemade Kahlua,"1 fifth Vodka, 3 cups boiling Water, 2 oz Vanilla extract, 1 1/2 oz instant Coffee, 1 cup Corn syrup, 2 1/2 cups Sugar","Vodka, Water, Vanilla extract, Coffee, Corn syrup, Sugar","1 fifth , 3 cups boiling , 2 oz , 1 1/2 oz instant , 1 cup , 2 1/2 cups "
604,Hot Creamy Bush,"6 oz hot Coffee, 3/4 shot Baileys irish cream, 1 shot Irish whiskey","Coffee, Baileys irish cream, Irish whiskey","6 oz hot , 3/4 shot , 1 shot "
605,Harvey Wallbanger,"4 oz Orange juice, 1/2 oz Galliano, 1 oz Vodka","Orange juice, Galliano, Vodka","4 oz , 1/2 oz , 1 oz "
606,Hawaiian Cocktail,"1 tblsp Pineapple juice, 1/2 oz Triple sec, 2 oz Gin","Pineapple juice, Triple sec, Gin","1 tblsp , 1/2 oz , 2 oz "
607,Hemingway Special,"3 partsLime Juice, 3 partsMaraschino Liqueur, 8 partsGrapefruit Juice, 12 partsRum","Lime Juice, Maraschino Liqueur, Grapefruit Juice, Rum","3 parts, 3 parts, 8 parts, 12 parts"
608,Highland Fling Cocktail,"1 Olive, 2 dashes Orange bitters, 3/4 oz Sweet Vermouth, 1 1/2 oz Scotch","Olive, Orange bitters, Sweet Vermouth, Scotch","1 , 2 dashes , 3/4 oz , 1 1/2 oz "
609,Hot Chocolate to Die for,"mini Marshmallows, 1 cup Half-and-half, 1/2 tsp Vanilla extract, 1 tsp Butter, 12 oz fine Chocolate","Marshmallows, Half-and-half, Vanilla extract, Butter, Chocolate","mini , 1 cup , 1/2 tsp , 1 tsp , 12 oz fine "
610,Ipamena,"fillIce, top up withGinger ale, 4 clPassion fruit juice, 2 tspBrown sugar, ½Lime","Ice, Ginger ale, Passion fruit juice, Brown sugar, Lime","fill, top up with, 4 cl, 2 tsp, ½"
611,Ice Pick," to taste
Lemon juice, 6 oz Iced tea, 1 1/2 oz Vodka","Lemon juice, Iced tea, Vodka"," to taste
, 6 oz , 1 1/2 oz "
612,Iced Coffee,"4 cups cold Milk, 1/4 cup hot Water, 1/4 cup Sugar, 1/4 cup instant Coffee","Milk, Water, Sugar, Coffee","4 cups cold , 1/4 cup hot , 1/4 cup , 1/4 cup instant "
613,Irish Cream,"1 tblsp Chocolate syrup, 3 drops Coconut syrup, 1 can sweetened Condensed milk, 1 1/4 cup Half-and-half, 1 cup Scotch","Chocolate syrup, Coconut syrup, Condensed milk, Half-and-half, Scotch","1 tblsp , 3 drops , 1 can sweetened , 1 1/4 cup , 1 cup "
614,Irish Coffee,"1 tblsp Whipped cream, 1 tsp Sugar, 8 oz Coffee, 1 1/2 oz Irish whiskey","Whipped cream, Sugar, Coffee, Irish whiskey","1 tblsp , 1 tsp , 8 oz , 1 1/2 oz "
615,Irish Spring,"1 Cherry, 1 slice Orange, 1 oz Sweet and sour, 1 oz Orange juice, 1/2 oz Peach brandy, 1 oz Irish whiskey","Cherry, Orange, Sweet and sour, Orange juice, Peach brandy, Irish whiskey","1 , 1 slice , 1 oz , 1 oz , 1/2 oz , 1 oz "
616,Imperial Fizz,"NoneCarbonated water, 1 tsp Powdered sugar, Juice of 1/2 Lemon, 1 1/2 oz Blended whiskey, 1/2 oz Light rum","Carbonated water, Powdered sugar, Lemon, Blended whiskey, Light rum","1 tsp , Juice of 1/2 , 1 1/2 oz , 1/2 oz "
617,Irish Russian,"Fill with Guinness stout, 1 dash Coca-Cola, 1 shot Kahlua, 1 shot Vodka","Guinness stout, Coca-Cola, Kahlua, Vodka","Fill with , 1 dash , 1 shot , 1 shot "
618,Imperial Cocktail,"4 cl Aperol, 2 cl Gin, 4 cl Lime juice","Aperol, Gin, Lime juice","4 cl , 2 cl , 4 cl "
619,Iced Coffee Fillip,"Strong cold Coffee, 2 tsp Kahlua","Coffee, Kahlua","Strong cold , 2 tsp "
620,Irish Curdling Cow,"2-3 oz Orange juice, 3/4 oz Vodka, 3/4 oz Bourbon, 3/4 oz Baileys irish cream","Orange juice, Vodka, Bourbon, Baileys irish cream","2-3 oz , 3/4 oz , 3/4 oz , 3/4 oz "
621,Jam Donut,"2 pinchesSugar, 1 tspSugar syrup, 1/3 ozChambord raspberry liqueur, 2/3 ozBaileys irish cream","Sugar, Sugar syrup, Chambord raspberry liqueur, Baileys irish cream","2 pinches, 1 tsp, 1/3 oz, 2/3 oz"
622,Jitterbug,"Fill to top with Soda water, 3 dashes Sugar syrup, Around rim put 1 pinch Sugar, 1 shot Lime juice, 3 dashes Grenadine, 1 jigger Vodka, 2 jiggers Gin","Soda water, Sugar syrup, Sugar, Lime juice, Grenadine, Vodka, Gin","Fill to top with , 3 dashes , Around rim put 1 pinch , 1 shot , 3 dashes , 1 jigger , 2 jiggers "
623,Jackhammer,"1 oz Amaretto, 1 oz Jack Daniels","Amaretto, Jack Daniels","1 oz , 1 oz "
624,Jelly Bean,"1 oz Anis, 1 oz Blackberry brandy","Anis, Blackberry brandy","1 oz , 1 oz "
625,Jello shots,"3 cups Water, 3 packages Jello, 2 cups Vodka","Water, Jello, Vodka","3 cups , 3 packages , 2 cups "
626,Jamaica Kiss,"NoneMilk, cubesIce, 1 shot Jamaican Light rum, 1 shot Coffee liqueur","Milk, Ice, Light rum, Coffee liqueur","cubes, 1 shot Jamaican , 1 shot "
627,John Collins,"1 Orange, 1 Maraschino cherry, 3 oz Club soda, 1 tsp superfine Sugar, 1 oz Lemon juice, 2 oz Bourbon","Orange, Maraschino cherry, Club soda, Sugar, Lemon juice, Bourbon","1 , 1 , 3 oz , 1 tsp superfine , 1 oz , 2 oz "
628,Japanese Fizz,"NoneCarbonated water, 1 Egg white, 1 tblspPort, 1 tsp Powdered sugar, Juice of 1/2 Lemon, 1 1/2 oz Blended whiskey","Carbonated water, Egg white, Port, Powdered sugar, Lemon, Blended whiskey","1 , 1 tblsp, 1 tsp , Juice of 1/2 , 1 1/2 oz "
629,Jamaican Coffee,"NoneWhipped cream, 1/2 glass cold Water, 1/6 glass strong black Coffee, 1/6 glass Rum","Whipped cream, Water, Coffee, Rum","1/2 glass cold , 1/6 glass strong black , 1/6 glass "
630,Just a Moonmint,"NoneMint syrup, NoneChocolate syrup, 2 cups Milk","Mint syrup, Chocolate syrup, Milk",2 cups 
631,Jewel Of The Nile,"1/2 oz Yellow Chartreuse, 1/2 oz Green Chartreuse, 1 1/2 oz Gin","Yellow Chartreuse, Green Chartreuse, Gin","1/2 oz , 1/2 oz , 1 1/2 oz "
632,Jack Rose Cocktail,"Juice of 1/2 Lime, 1 tsp Grenadine, 1 1/2 oz Apple brandy","Lime, Grenadine, Apple brandy","Juice of 1/2 , 1 tsp , 1 1/2 oz "
633,Jack's Vanilla Coke,"10-12 oz Coca-Cola, 1 tsp Vanilla extract, 2 oz Tennessee whiskey, 4-5 Ice","Coca-Cola, Vanilla extract, Tennessee whiskey, Ice","10-12 oz , 1 tsp , 2 oz , 4-5 "
634,Kir,"5 parts Champagne, 1 part Creme de Cassis","Champagne, Creme de Cassis","5 parts , 1 part "
635,Karsk,"2 parts Grain alcohol, 1 part Coffee","Grain alcohol, Coffee","2 parts , 1 part "
636,Kamikaze,"1 oz Lime juice, 1 oz Triple sec, 1 oz Vodka","Lime juice, Triple sec, Vodka","1 oz , 1 oz , 1 oz "
637,Kir Royale,"5 parts Champagne, 1 part Creme de Cassis","Champagne, Creme de Cassis","5 parts , 1 part "
638,Kiwi Lemon,"cubesIce, 2 parts Bitter lemon, 1 part Kiwi liqueur","Ice, Bitter lemon, Kiwi liqueur","cubes, 2 parts , 1 part "
639,Kurant Tea," (if needed)
Sugar, Turkish apple Tea, 4 cl Absolut Kurant","Sugar, Tea, Absolut Kurant"," (if needed)
, Turkish apple , 4 cl "
640,Kioki Coffee,"NoneCoffee, 1/2 oz Brandy, 1 oz Kahlua","Coffee, Brandy, Kahlua","1/2 oz , 1 oz "
641,Kiwi Martini,"Garnish withKiwi, 1 1/2 ozVodka, 1 tspSugar Syrup, 1/2Kiwi","Kiwi, Vodka, Sugar Syrup, Kiwi","Garnish with, 1 1/2 oz, 1 tsp, 1/2"
642,Kiss me Quick,"cubesIce, 8 cl Apple juice, 7 cl Schweppes Russchian, 2 cl Apfelkorn, 4 cl Cranberry vodka","Ice, Apple juice, Schweppes Russchian, Apfelkorn, Cranberry vodka","cubes, 8 cl , 7 cl , 2 cl , 4 cl "
643,Kool-Aid Shot,"NoneCranberry juice, 1 shot Triple sec, 1 shot Sloe gin, 1 shot Amaretto, 1 shot Vodka","Cranberry juice, Triple sec, Sloe gin, Amaretto, Vodka","1 shot , 1 shot , 1 shot , 1 shot "
644,Kool First Aid,"1/2 tsp Tropical Kool-Aid, 2 oz light 151 proof rum","Kool-Aid, 151 proof rum","1/2 tsp Tropical , 2 oz light "
645,Kentucky B And B,"1/2 oz Benedictine, 2 oz Bourbon","Benedictine, Bourbon","1/2 oz , 2 oz "
646,Kentucky Colonel,"1 twist of Lemon peel, 1/2 oz Benedictine, 3 oz Bourbon","Lemon peel, Benedictine, Bourbon","1 twist of , 1/2 oz , 3 oz "
647,Kool-Aid Slammer,"1/2 oz Vodka, 1/2 oz Grape Kool-Aid","Vodka, Kool-Aid","1/2 oz , 1/2 oz Grape "
648,Kiwi Papaya Smoothie,"1/2 Papaya, 3 Kiwi","Papaya, Kiwi","1/2 , 3 "
649,Kill the cold Smoothie,"1 cup hot Water, 1/4 Lemon, 1 inch Ginger","Water, Lemon, Ginger","1 cup hot , 1/4 , 1 inch "
650,Limeade,"NoneLime peel,  (seltzer water)
Soda water, 1 tblsp Sugar, Juice of 1 Lime","Lime peel, Soda water, Sugar, Lime"," (seltzer water)
, 1 tblsp , Juice of 1 "
651,Lunch Box,"1 oz Orange juice, 1 shot Amaretto, 3/4 bottle Beer","Orange juice, Amaretto, Beer","1 oz , 1 shot , 3/4 bottle "
652,Lemon Drop,"Juice of 1 wedge Lemon, 1 1/2 shot Cointreau, 1 1/2 shot Vodka","Lemon, Cointreau, Vodka","Juice of 1 wedge , 1 1/2 shot , 1 1/2 shot "
653,Lemon Shot,"None151 proof rum, Bacardi Sugar,  wedge
Lemon, 1/2 oz Absolut Citron, 1/2 oz Galliano","151 proof rum, Sugar, Lemon, Absolut Citron, Galliano","Bacardi ,  wedge
, 1/2 oz , 1/2 oz "
